"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/hotel-backend.csproj", "XML", 0, 0, -22, 0, 0, -4, -26
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", -3, 0, 0, 0, -1, -1, -5
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.AssemblyInfo.cs", "C#", -9, 0, 0, 0, -9, -5, -23
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -19, 0, -1, -20
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.GlobalUsings.g.cs", "C#", -16, 0, 0, 0, -1, -1, -18
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.MvcApplicationPartsAssemblyInfo.cs", "C#", -4, 0, 0, 0, -9, -5, -18
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.sourcelink.json", "JSON", 0, -1, 0, 0, 0, 0, -1
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets.build.json", "JSON", 0, -11, 0, 0, 0, 0, -11
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.build.hotel-backend.props", "XML", 0, 0, -3, 0, 0, 0, -3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.buildMultiTargeting.hotel-backend.props", "XML", 0, 0, -3, 0, 0, 0, -3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.buildTransitive.hotel-backend.props", "XML", 0, 0, -3, 0, 0, 0, -3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/hotel-backend.csproj.nuget.dgspec.json", "JSON", 0, 4, 0, 0, 0, 0, 4
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/project.assets.json", "JSON", 0, 226, 0, 0, 0, 0, 226
"Total", "-", 99, -718, -31, -19, -24, -11, -704
