"filename", "language", "C#", "JSON", "Markdown", "XML", "Properties", "comment", "blank", "total"
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Models/RoomTypeModel.cs", "C#", 15, 0, 0, 0, 0, 0, 7, 22
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Models/UserModel.cs", "C#", 29, 0, 0, 0, 0, 0, 9, 38
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Program.cs", "C#", 20, 0, 0, 0, 0, 4, 9, 33
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Properties/launchSettings.json", "JSON", 0, 41, 0, 0, 0, 0, 1, 42
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/README.md", "Markdown", 0, 0, 1, 0, 0, 0, 1, 2
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Utilities/UploadUtils.cs", "C#", 18, 0, 0, 0, 0, 0, 5, 23
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/appsettings.json", "JSON", 0, 9, 0, 0, 0, 0, 1, 10
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/bin/Debug/net8.0/appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/bin/Debug/net8.0/appsettings.json", "JSON", 0, 9, 0, 0, 0, 0, 1, 10
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/bin/Debug/net8.0/hotel-backend.deps.json", "JSON", 0, 899, 0, 0, 0, 0, 0, 899
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/bin/Debug/net8.0/hotel-backend.runtimeconfig.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 20
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/hotel-backend.csproj", "XML", 0, 0, 0, 22, 0, 0, 4, 26
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 0, 9, 5, 23
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 19, 0, 1, 20
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 1, 1, 18
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.MvcApplicationPartsAssemblyInfo.cs", "C#", 4, 0, 0, 0, 0, 9, 5, 18
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/hotel-backend.sourcelink.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets.build.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.build.hotel-backend.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.buildMultiTargeting.hotel-backend.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/Debug/net8.0/staticwebassets/msbuild.buildTransitive.hotel-backend.props", "XML", 0, 0, 0, 3, 0, 0, 0, 3
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/hotel-backend.csproj.EntityFrameworkCore.targets", "XML", 0, 0, 0, 28, 0, 0, 1, 29
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/hotel-backend.csproj.nuget.dgspec.json", "JSON", 0, 100, 0, 0, 0, 0, 0, 100
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/hotel-backend.csproj.nuget.g.props", "XML", 0, 0, 0, 26, 0, 0, 0, 26
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/hotel-backend.csproj.nuget.g.targets", "XML", 0, 0, 0, 9, 0, 0, 0, 9
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/obj/project.assets.json", "JSON", 0, 2852, 0, 0, 0, 0, 0, 2852
"Total", "-", 1225, 3958, 1, 94, 19, 54, 329, 5680
